symbol,timeframe,universe_month,selected_top50,relative_path,size_bytes
1000BONKUSDT,4h,2023-12,False,1000BONKUSDT/4h/1000BONKUSDT-4h-2023-12.zip,10815
1000BONKUSDT,4h,2024-01,True,1000BONKUSDT/4h/1000BONKUSDT-4h-2024-01.zip,10472
1000BONKUSDT,4h,2024-02,True,1000BONKUSDT/4h/1000BONKUSDT-4h-2024-02.zip,9591
1000FLOKIUSDT,4h,2023-09,False,1000FLOKIUSDT/4h/1000FLOKIUSDT-4h-2023-09.zip,8616
1000FLOKIUSDT,4h,2023-10,False,1000FLOKIUSDT/4h/1000FLOKIUSDT-4h-2023-10.zip,9605
1000FLOKIUSDT,4h,2023-11,True,1000FLOKIUSDT/4h/1000FLOKIUSDT-4h-2023-11.zip,9278
1000FLOKIUSDT,4h,2024-02,False,1000FLOKIUSDT/4h/1000FLOKIUSDT-4h-2024-02.zip,8737
1000LUNCUSDT,4h,2022-10,False,1000LUNCUSDT/4h/1000LUNCUSDT-4h-2022-10.zip,9604
1000LUNCUSDT,4h,2022-11,True,1000LUNCUSDT/4h/1000LUNCUSDT-4h-2022-11.zip,9004
1000LUNCUSDT,4h,2022-12,True,1000LUNCUSDT/4h/1000LUNCUSDT-4h-2022-12.zip,9162
1000LUNCUSDT,4h,2023-01,True,1000LUNCUSDT/4h/1000LUNCUSDT-4h-2023-01.zip,9199
1000LUNCUSDT,4h,2023-02,True,1000LUNCUSDT/4h/1000LUNCUSDT-4h-2023-02.zip,8303
1000LUNCUSDT,4h,2023-03,True,1000LUNCUSDT/4h/1000LUNCUSDT-4h-2023-03.zip,9076
1000LUNCUSDT,4h,2023-05,False,1000LUNCUSDT/4h/1000LUNCUSDT-4h-2023-05.zip,8911
1000LUNCUSDT,4h,2023-06,False,1000LUNCUSDT/4h/1000LUNCUSDT-4h-2023-06.zip,9421
1000LUNCUSDT,4h,2023-07,True,1000LUNCUSDT/4h/1000LUNCUSDT-4h-2023-07.zip,9499
1000LUNCUSDT,4h,2023-10,False,1000LUNCUSDT/4h/1000LUNCUSDT-4h-2023-10.zip,9264
1000LUNCUSDT,4h,2023-11,False,1000LUNCUSDT/4h/1000LUNCUSDT-4h-2023-11.zip,9426
1000LUNCUSDT,4h,2023-12,True,1000LUNCUSDT/4h/1000LUNCUSDT-4h-2023-12.zip,10214
1000LUNCUSDT,4h,2024-01,True,1000LUNCUSDT/4h/1000LUNCUSDT-4h-2024-01.zip,9802
1000PEPEUSDT,4h,2023-06,False,1000PEPEUSDT/4h/1000PEPEUSDT-4h-2023-06.zip,10732
1000PEPEUSDT,4h,2023-07,True,1000PEPEUSDT/4h/1000PEPEUSDT-4h-2023-07.zip,10859
1000PEPEUSDT,4h,2023-08,True,1000PEPEUSDT/4h/1000PEPEUSDT-4h-2023-08.zip,10820
1000PEPEUSDT,4h,2023-09,True,1000PEPEUSDT/4h/1000PEPEUSDT-4h-2023-09.zip,10264
1000PEPEUSDT,4h,2023-10,True,1000PEPEUSDT/4h/1000PEPEUSDT-4h-2023-10.zip,10706
1000PEPEUSDT,4h,2023-11,True,1000PEPEUSDT/4h/1000PEPEUSDT-4h-2023-11.zip,10364
1000PEPEUSDT,4h,2023-12,True,1000PEPEUSDT/4h/1000PEPEUSDT-4h-2023-12.zip,10782
1000PEPEUSDT,4h,2024-01,True,1000PEPEUSDT/4h/1000PEPEUSDT-4h-2024-01.zip,10626
1000PEPEUSDT,4h,2024-02,True,1000PEPEUSDT/4h/1000PEPEUSDT-4h-2024-02.zip,10064
1000SATSUSDT,4h,2024-01,False,1000SATSUSDT/4h/1000SATSUSDT-4h-2024-01.zip,10731
