trial_id,feature_id,variant,market,timeframe,side,cohort,horizon_bars_24h,status,observations,signals,executed_trades,signal_frequency,exposure,turnover,gross_return,net_return,hit_rate,mean_net_return,median_net_return,sharpe,sortino,max_drawdown,calmar,hac_t_stat,bootstrap_ci_low,bootstrap_ci_high
T0001,trend.ema_20_50_spread,ema_10_30,spot,15m,LONG,top50,96,REGISTERED,8925850,91165,91165,0.010213593103177848,0.9805049379050734,182330.0,-1.0,-1.0,0.45291504415071576,0.016821397411752856,-0.0037670392285776818,0.740799669341813,65.60014799672932,-1.0,589.4217653078201,1.1964376998380832,-0.0025605646356833016,0.046877184413376335
T0002,trend.ema_20_50_spread,ema_20_50,spot,15m,LONG,top50,96,REGISTERED,8925850,91165,91165,0.0102135931031778,0.9805049379050734,182330.0,-1.0,-1.0,0.4529150441507157,0.0168213974117528,-0.0037670392285776,0.740799669341813,65.60014799672932,-1.0,589.4217653078201,1.1964376998380832,-0.0025605646356833,0.0468771844133763
T0003,trend.ema_20_50_spread,ema_50_200,spot,15m,LONG,top50,96,REGISTERED,8925850,91165,91165,0.0102135931031778,0.9805049379050734,182330.0,-1.0,-1.0,0.4529150441507157,0.0168213974117528,-0.0037670392285776,0.740799669341813,65.60014799672932,-1.0,589.4217653078201,1.1964376998380832,-0.0025605646356833,0.0468771844133763
T0004,trend.ema_50_200_regime,ema_10_30,spot,15m,LONG,top50,96,REGISTERED,8925850,91165,91165,0.0102135931031778,0.9805049379050734,182330.0,-1.0,-1.0,0.4529150441507157,0.0168213974117528,-0.0037670392285776,0.740799669341813,65.60014799672932,-1.0,589.4217653078201,1.1964376998380832,-0.0025605646356833,0.0468771844133763
T0005,trend.ema_50_200_regime,ema_20_50,spot,15m,LONG,top50,96,REGISTERED,8925850,91165,91165,0.0102135931031778,0.9805049379050734,182330.0,-1.0,-1.0,0.4529150441507157,0.0168213974117528,-0.0037670392285776,0.740799669341813,65.60014799672932,-1.0,589.4217653078201,1.1964376998380832,-0.0025605646356833,0.0468771844133763
T0006,trend.ema_50_200_regime,ema_50_200,spot,15m,LONG,top50,96,REGISTERED,8925850,91165,91165,0.0102135931031778,0.9805049379050734,182330.0,-1.0,-1.0,0.4529150441507157,0.0168213974117528,-0.0037670392285776,0.740799669341813,65.60014799672932,-1.0,589.4217653078201,1.1964376998380832,-0.0025605646356833,0.0468771844133763
T0007,trend.ema_slope,default,spot,15m,LONG,top50,96,REGISTERED,8925850,91165,91165,0.0102135931031778,0.9805049379050734,182330.0,-1.0,-1.0,0.4529150441507157,0.0168213974117528,-0.0037670392285776,0.740799669341813,65.60014799672932,-1.0,589.4217653078201,1.1964376998380832,-0.0025605646356833,0.0468771844133763
T0008,trend.adx_dmi,adx14_threshold20,spot,15m,LONG,top50,96,REGISTERED,8925850,85062,85062,0.0095298486978831,0.9148654749967792,170124.0,-1.0,-1.0,0.4557734358467941,0.0132519696430891,-0.0036018055131178,0.5956415178611272,51.87681482366093,-1.0,464.3490162938425,0.9284914020064108,-0.0029368096430211,0.0449261701223902
T0009,trend.kaufman_er,er10_threshold0.3,spot,15m,LONG,top50,96,REGISTERED,8925850,88571,88571,0.0099229765232442,0.9526057462314512,177142.0,-1.0,-1.0,0.4543925212541351,0.0108117638239211,-0.0036334459459459,0.5587711453426891,42.25170772957821,-1.0,378.8442043901983,0.8887870887514944,-0.0032071031895693,0.0377684559299836
T0010,trend.donchian,donchian_20,spot,15m,LONG,top50,96,REGISTERED,8925850,80798,80798,0.0090521350907756,0.8690049687144642,161596.0,-1.0,-1.0,0.4569172504269908,0.0139226946852938,-0.0036925207756232,0.6161798435187972,53.450848034456,-1.0,487.8512217726976,0.9361372680335988,-0.0029092717245122,0.0467955052837084
