trial_id,feature_id,market,timeframe,side,executed_trades,hit_rate,mean_net_return,sharpe,hac_t_stat,grade
T0048,volatility.realized_percentile,spot,1h,LONG,269,0.5910780669144982,0.007891448788038076,15.771129564775691,3.22585857767902,A
T0072,volatility.atr_natr,spot,4h,LONG,33,0.5454545454545454,0.011866138271186998,10.673557017575185,2.169315590527898,B
T0125,momentum.rsi,um,1h,LONG,684,0.5146198830409356,0.0027765602979409683,6.211619516173276,2.0683467758820964,B
T0127,momentum.rsi,um,1h,LONG,150,0.5933333333333334,0.008657076109763573,17.021457855943613,2.11426032396782,B
T0130,volatility.realized_percentile,um,1h,LONG,279,0.5806451612903226,0.007939360624080436,16.236268391999744,3.5438825675357126,A
