trial_id,fold_id,feature_id,signal_variant,timeframe,side,horizon_bars,valid_fold,trades,aggregate_observations,aggregate_mean_net_return,aggregate_hac_t
R2B0005,F08,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,4,True,96590,15663,-0.002201045772122789,-21.64343764709633
R2B0006,F01,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,16,True,7400,4821,-0.003516804138027301,-5.421917636927353
R2B0006,F02,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,16,True,15088,8122,-0.004041813381167974,-7.313262239189269
R2B0006,F03,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,16,True,16423,7262,-0.004457624857117557,-3.9533680285587316
R2B0006,F04,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,16,True,24697,9828,-0.0032600609341547414,-5.581859317281749
R2B0006,F05,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,16,True,45311,15448,-0.0010799387764448879,-1.9362729710865898
R2B0006,F06,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,16,True,47712,16057,-0.001762013527450887,-4.576828194653147
R2B0006,F07,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,16,True,42110,14571,-0.0026479795045751078,-6.797293468666334
R2B0006,F08,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,16,True,35567,13386,-0.002545498686795838,-9.136508817572695
R2B0007,F01,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,48,True,3339,2630,-0.00559484686606527,-3.6997955731306305
R2B0007,F02,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,48,True,7132,5010,-0.0061293474034265286,-4.795746291845618
R2B0007,F03,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,48,True,7411,4673,-0.008745093727894726,-3.43246522547847
R2B0007,F04,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,48,True,10523,6151,-0.005263774071333524,-3.9996047973949094
R2B0007,F05,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,48,True,16685,10096,0.0012857155904232843,1.0027407424765373
R2B0007,F06,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,48,True,17417,9944,-0.0007674511740634051,-0.8678682243442728
R2B0007,F07,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,48,True,15970,9287,-0.0034941520802508853,-3.900866793453418
R2B0007,F08,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,48,True,13850,8483,-0.003135964604668331,-4.846617412599412
R2B0008,F01,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,96,True,1895,1633,-0.007848639193217526,-2.845330652204538
R2B0008,F02,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,96,True,4215,3282,-0.009199998929416071,-4.179141538596943
R2B0008,F03,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,96,True,4389,3109,-0.01207126688010073,-2.780539469640164
R2B0008,F04,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,96,True,5933,3911,-0.007244913372457343,-3.121008217823918
R2B0008,F05,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,96,True,8569,5852,0.0034541672822146125,1.5306365164586424
R2B0008,F06,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,96,True,8920,5705,0.0004165478474862545,0.25898795979844214
R2B0008,F07,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,96,True,8364,5458,-0.004224676406507167,-2.5102592893058513
R2B0008,F08,derivatives.premium,PRESSURE_CONTINUATION,15m,SHORT,96,True,7422,5108,-0.004038504214922619,-3.5142007923521725
R2B0009,F01,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,4,True,8608,2584,-0.0018623035359269268,-2.941163910863294
R2B0009,F02,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,4,True,19644,4170,-0.0020539757746085244,-4.124167146820437
R2B0009,F03,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,4,True,27089,4014,-0.0012898640704847395,-1.5582314441970193
R2B0009,F04,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,4,True,24468,3839,-0.0018915227181359527,-3.3488993057254306
R2B0009,F05,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,4,True,6971,2491,-0.0038760382148095656,-5.20426619971867
R2B0009,F06,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,4,True,5282,2602,-0.003092323790182955,-5.332194122121085
R2B0009,F07,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,4,True,12423,3261,-0.0025109153295395635,-4.841297375880909
R2B0009,F08,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,4,True,16804,3634,-0.001430538889550505,-3.817396579304636
R2B0010,F01,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,12,True,3886,1946,-0.0008764909822651438,-0.5659563377934718
R2B0010,F02,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,12,True,9432,3561,-0.0015351094661639065,-1.1893957493213616
R2B0010,F03,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,12,True,12480,3645,0.000966872571493819,0.4813363279602707
R2B0010,F04,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,12,True,11555,3457,-0.0012925623315192731,-0.9177911872016772
R2B0010,F05,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,12,True,4661,2100,-0.006353375553235388,-3.4047212253519072
R2B0010,F06,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,12,True,3651,2059,-0.004354647925617989,-3.126522247289916
R2B0010,F07,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,12,True,7026,2752,-0.002523612753680756,-1.8816038538031974
R2B0010,F08,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,12,True,8412,3143,-2.3074366184669402e-05,-0.02525222230619856
R2B0011,F01,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,24,True,2160,1413,0.0011359406188765615,0.4613026870802883
R2B0011,F02,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,24,True,5433,2795,-0.0006801497079921135,-0.3061767898373239
R2B0011,F03,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,24,True,7035,2994,0.004871198274737962,1.4337248998760992
R2B0011,F04,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,24,True,6623,3036,0.0007137684069080379,0.3109343834271646
R2B0011,F05,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,24,True,3277,1703,-0.00860243435934557,-2.691259499939223
R2B0011,F06,derivatives.premium,PRESSURE_CONTINUATION,1h,LONG,24,True,2651,1677,-0.005944209990692878,-2.484691387287125
