trial_id,feature_id,signal_variant,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_hac_t,fdr_q_value,max_top_symbol_share_abs,catastrophic_reversal,temporal_replication
R2B0038,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,LONG,16,8,0.0,-10.131058429073303,2.1200000076492904e-23,0.02445274297763554,True,NO_REPLICATION
R2B0039,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,LONG,48,8,0.125,-2.9966134646623575,0.004183575659178926,0.023018013906731347,True,NO_REPLICATION
R2B0040,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,LONG,96,8,0.625,-0.8856642457255796,0.43641724140299837,0.043914080372708,True,NO_REPLICATION
R2B0041,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,SHORT,4,8,0.0,-41.77190631790413,0.0,0.02290278173267722,True,NO_REPLICATION
R2B0042,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,SHORT,16,8,0.0,-13.525691177662688,9.534894737437323e-41,0.024047315545578898,True,NO_REPLICATION
R2B0043,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,SHORT,48,8,0.125,-6.176250281160591,1.9009840519008625e-09,0.031433347816172116,True,NO_REPLICATION
R2B0044,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,SHORT,96,8,0.25,-4.3645247790681765,2.7043726442853132e-05,0.03533577234322073,True,NO_REPLICATION
R2B0045,derivatives.premium_zscore,PRESSURE_CONTINUATION,1h,LONG,4,8,0.0,-9.337828295645773,3.9599885384066355e-20,0.02661346827377574,True,NO_REPLICATION
R2B0046,derivatives.premium_zscore,PRESSURE_CONTINUATION,1h,LONG,12,8,0.125,-2.745658274365295,0.00853092896691287,0.02777631845966311,True,NO_REPLICATION
R2B0047,derivatives.premium_zscore,PRESSURE_CONTINUATION,1h,LONG,24,8,0.5,-0.9811208370553156,0.38542838259839995,0.03732614940704963,False,NO_REPLICATION
R2B0048,derivatives.premium_zscore,PRESSURE_CONTINUATION,1h,SHORT,4,8,0.0,-12.038316051271119,1.5840652413874023e-32,0.02628313165248974,True,NO_REPLICATION
R2B0049,derivatives.premium_zscore,PRESSURE_CONTINUATION,1h,SHORT,12,8,0.125,-5.630543732390856,4.6631001769447257e-08,0.03058375498003961,True,NO_REPLICATION
R2B0050,derivatives.premium_zscore,PRESSURE_CONTINUATION,1h,SHORT,24,8,0.25,-3.9030071616045823,0.00017149496370671372,0.03523538795326714,True,NO_REPLICATION
R2B0051,derivatives.premium_zscore,PRESSURE_CONTINUATION,4h,LONG,3,8,0.25,-2.5947267796862272,0.012884712887914223,0.03677458827465885,True,NO_REPLICATION
R2B0052,derivatives.premium_zscore,PRESSURE_CONTINUATION,4h,LONG,6,8,0.5,-1.0035772209145606,0.38515800707614056,0.02151826544447045,False,NO_REPLICATION
R2B0053,derivatives.premium_zscore,PRESSURE_CONTINUATION,4h,SHORT,3,8,0.125,-5.312064416001851,2.6741176412997914e-07,0.028840279156801155,True,NO_REPLICATION
R2B0054,derivatives.premium_zscore,PRESSURE_CONTINUATION,4h,SHORT,6,8,0.25,-3.2213186356233523,0.002128981985622756,0.03173187181014137,True,NO_REPLICATION
R2B0055,derivatives.premium_zscore,CROWDING_REVERSION,15m,LONG,4,8,0.0,-31.798404817429216,5.875413758225368e-220,0.023374455754416826,True,NO_REPLICATION
R2B0056,derivatives.premium_zscore,CROWDING_REVERSION,15m,LONG,16,8,0.0,-7.444588667866267,3.358576065786805e-13,0.024396496619705926,True,NO_REPLICATION
R2B0057,derivatives.premium_zscore,CROWDING_REVERSION,15m,LONG,48,8,0.25,-2.2354764834453187,0.033236857230978224,0.02927067375085838,True,NO_REPLICATION
R2B0058,derivatives.premium_zscore,CROWDING_REVERSION,15m,LONG,96,8,0.625,-0.31395809777365813,0.8220593890355037,0.036830028347879795,False,NO_REPLICATION
R2B0059,derivatives.premium_zscore,CROWDING_REVERSION,15m,SHORT,4,8,0.0,-35.867585154038544,3.387556765951894e-279,0.0226616452513955,True,NO_REPLICATION
R2B0060,derivatives.premium_zscore,CROWDING_REVERSION,15m,SHORT,16,8,0.0,-11.038972058959185,1.4206757738524234e-27,0.024585859378053715,True,NO_REPLICATION
R2B0061,derivatives.premium_zscore,CROWDING_REVERSION,15m,SHORT,48,8,0.125,-5.32114010819929,2.5682310027969776e-07,0.032959955455519475,True,NO_REPLICATION
