trial_id,feature_id,signal_variant,market,timeframe,side,cohort,horizon_bars,signal_rule,status
R2B0041,derivatives.premium_zscore,PRESSURE_CONTINUATION,um,15m,SHORT,top50,4,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0042,derivatives.premium_zscore,PRESSURE_CONTINUATION,um,15m,SHORT,top50,16,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0043,derivatives.premium_zscore,PRESSURE_CONTINUATION,um,15m,SHORT,top50,48,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0044,derivatives.premium_zscore,PRESSURE_CONTINUATION,um,15m,SHORT,top50,96,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0045,derivatives.premium_zscore,PRESSURE_CONTINUATION,um,1h,LONG,top50,4,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0046,derivatives.premium_zscore,PRESSURE_CONTINUATION,um,1h,LONG,top50,12,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0047,derivatives.premium_zscore,PRESSURE_CONTINUATION,um,1h,LONG,top50,24,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0048,derivatives.premium_zscore,PRESSURE_CONTINUATION,um,1h,SHORT,top50,4,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0049,derivatives.premium_zscore,PRESSURE_CONTINUATION,um,1h,SHORT,top50,12,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0050,derivatives.premium_zscore,PRESSURE_CONTINUATION,um,1h,SHORT,top50,24,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0051,derivatives.premium_zscore,PRESSURE_CONTINUATION,um,4h,LONG,top50,3,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0052,derivatives.premium_zscore,PRESSURE_CONTINUATION,um,4h,LONG,top50,6,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0053,derivatives.premium_zscore,PRESSURE_CONTINUATION,um,4h,SHORT,top50,3,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0054,derivatives.premium_zscore,PRESSURE_CONTINUATION,um,4h,SHORT,top50,6,SIGN_SAME_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0055,derivatives.premium_zscore,CROWDING_REVERSION,um,15m,LONG,top50,4,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0056,derivatives.premium_zscore,CROWDING_REVERSION,um,15m,LONG,top50,16,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0057,derivatives.premium_zscore,CROWDING_REVERSION,um,15m,LONG,top50,48,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0058,derivatives.premium_zscore,CROWDING_REVERSION,um,15m,LONG,top50,96,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0059,derivatives.premium_zscore,CROWDING_REVERSION,um,15m,SHORT,top50,4,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0060,derivatives.premium_zscore,CROWDING_REVERSION,um,15m,SHORT,top50,16,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0061,derivatives.premium_zscore,CROWDING_REVERSION,um,15m,SHORT,top50,48,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0062,derivatives.premium_zscore,CROWDING_REVERSION,um,15m,SHORT,top50,96,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0063,derivatives.premium_zscore,CROWDING_REVERSION,um,1h,LONG,top50,4,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0064,derivatives.premium_zscore,CROWDING_REVERSION,um,1h,LONG,top50,12,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0065,derivatives.premium_zscore,CROWDING_REVERSION,um,1h,LONG,top50,24,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0066,derivatives.premium_zscore,CROWDING_REVERSION,um,1h,SHORT,top50,4,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0067,derivatives.premium_zscore,CROWDING_REVERSION,um,1h,SHORT,top50,12,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0068,derivatives.premium_zscore,CROWDING_REVERSION,um,1h,SHORT,top50,24,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0069,derivatives.premium_zscore,CROWDING_REVERSION,um,4h,LONG,top50,3,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0070,derivatives.premium_zscore,CROWDING_REVERSION,um,4h,LONG,top50,6,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0071,derivatives.premium_zscore,CROWDING_REVERSION,um,4h,SHORT,top50,3,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
R2B0072,derivatives.premium_zscore,CROWDING_REVERSION,um,4h,SHORT,top50,6,SIGN_OPPOSITE_DIRECTION,PREREGISTERED_PREOUTCOME
