fold_id,block,validation_start_utc,validation_end_exclusive_utc,history_end_exclusive_utc,timeframe,horizon_bars,purge_bars,embargo_bars,minimum_trades,status,selection_basis
F05,2022-H1,2022-01-01T04:00:00Z,2022-07-01T00:00:00Z,2021-12-31T16:00:00Z,4h,3,3,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F05,2022-H1,2022-01-01T04:00:00Z,2022-07-01T00:00:00Z,2021-12-31T04:00:00Z,4h,6,6,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F06,2022-H2,2022-07-01T00:15:00Z,2023-01-01T00:00:00Z,2022-06-30T23:15:00Z,15m,4,4,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F06,2022-H2,2022-07-01T00:15:00Z,2023-01-01T00:00:00Z,2022-06-30T20:15:00Z,15m,16,16,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F06,2022-H2,2022-07-01T00:15:00Z,2023-01-01T00:00:00Z,2022-06-30T12:15:00Z,15m,48,48,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F06,2022-H2,2022-07-01T00:15:00Z,2023-01-01T00:00:00Z,2022-06-30T00:15:00Z,15m,96,96,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F06,2022-H2,2022-07-01T01:00:00Z,2023-01-01T00:00:00Z,2022-06-30T21:00:00Z,1h,4,4,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F06,2022-H2,2022-07-01T01:00:00Z,2023-01-01T00:00:00Z,2022-06-30T13:00:00Z,1h,12,12,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F06,2022-H2,2022-07-01T01:00:00Z,2023-01-01T00:00:00Z,2022-06-30T01:00:00Z,1h,24,24,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F06,2022-H2,2022-07-01T04:00:00Z,2023-01-01T00:00:00Z,2022-06-30T16:00:00Z,4h,3,3,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F06,2022-H2,2022-07-01T04:00:00Z,2023-01-01T00:00:00Z,2022-06-30T04:00:00Z,4h,6,6,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F07,2023-H1,2023-01-01T00:15:00Z,2023-07-01T00:00:00Z,2022-12-31T23:15:00Z,15m,4,4,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F07,2023-H1,2023-01-01T00:15:00Z,2023-07-01T00:00:00Z,2022-12-31T20:15:00Z,15m,16,16,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F07,2023-H1,2023-01-01T00:15:00Z,2023-07-01T00:00:00Z,2022-12-31T12:15:00Z,15m,48,48,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F07,2023-H1,2023-01-01T00:15:00Z,2023-07-01T00:00:00Z,2022-12-31T00:15:00Z,15m,96,96,1,30,PREREGISTERED,calendar_block_and_time_structure_only
F07,2023-H1,2023-01-01T01:00:00Z,2023-07-01T00:00:00Z,2022-12-31T21:00:00Z,1h,4,4,1,30,PREREGISTERED,calendar_block_and_time_structure_only
