granularity,feature,eligible_rows,finite_rows,coverage_fraction,first_finite_timestamp,last_finite_timestamp,missingness_cause,symbol,timeframe,year,segment_start,segment_end,month,segment_id
symbol_timeframe_year,derivatives.premium,216,0,0.0,,,ARCHIVE_NOT_ACQUIRED,1000SATSUSDT,1h,2024,2023-12-12 14:00:00+00:00,2024-12-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,54,0,0.0,,,ARCHIVE_NOT_ACQUIRED,1000SATSUSDT,4h,2024,2023-12-12 12:00:00+00:00,2024-12-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,17664,17664,1.0,2021-07-01T00:00:00+00:00,2021-12-31T23:45:00+00:00,AVAILABLE,1000SHIBUSDT,15m,2021,2021-05-10 17:30:00+00:00,2025-10-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,35040,35040,1.0,2022-01-01T00:00:00+00:00,2022-12-31T23:45:00+00:00,AVAILABLE,1000SHIBUSDT,15m,2022,2021-05-10 17:30:00+00:00,2025-10-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,35040,35040,1.0,2023-01-01T00:00:00+00:00,2023-12-31T23:45:00+00:00,AVAILABLE,1000SHIBUSDT,15m,2023,2021-05-10 17:30:00+00:00,2025-10-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,2976,2976,1.0,2024-01-01T00:00:00+00:00,2024-01-31T23:45:00+00:00,AVAILABLE,1000SHIBUSDT,15m,2024,2021-05-10 17:30:00+00:00,2025-10-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,4416,4416,1.0,2021-07-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,AVAILABLE,1000SHIBUSDT,1h,2021,2021-05-10 17:00:00+00:00,2025-10-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,8760,8760,1.0,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,AVAILABLE,1000SHIBUSDT,1h,2022,2021-05-10 17:00:00+00:00,2025-10-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,8760,8760,1.0,2023-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,AVAILABLE,1000SHIBUSDT,1h,2023,2021-05-10 17:00:00+00:00,2025-10-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,744,744,1.0,2024-01-01T00:00:00+00:00,2024-01-31T23:00:00+00:00,AVAILABLE,1000SHIBUSDT,1h,2024,2021-05-10 17:00:00+00:00,2025-10-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,1104,1104,1.0,2021-07-01T00:00:00+00:00,2021-12-31T20:00:00+00:00,AVAILABLE,1000SHIBUSDT,4h,2021,2021-05-10 16:00:00+00:00,2025-10-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2190,2190,1.0,2022-01-01T00:00:00+00:00,2022-12-31T20:00:00+00:00,AVAILABLE,1000SHIBUSDT,4h,2022,2021-05-10 16:00:00+00:00,2025-10-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2190,2190,1.0,2023-01-01T00:00:00+00:00,2023-12-31T20:00:00+00:00,AVAILABLE,1000SHIBUSDT,4h,2023,2021-05-10 16:00:00+00:00,2025-10-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,186,186,1.0,2024-01-01T00:00:00+00:00,2024-01-31T20:00:00+00:00,AVAILABLE,1000SHIBUSDT,4h,2024,2021-05-10 16:00:00+00:00,2025-10-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2976,2976,1.0,2023-08-01T00:00:00+00:00,2023-08-31T23:45:00+00:00,AVAILABLE,1000XECUSDT,15m,2023,2023-06-01 00:00:00+00:00,2023-08-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,744,744,1.0,2023-08-01T00:00:00+00:00,2023-08-31T23:00:00+00:00,AVAILABLE,1000XECUSDT,1h,2023,2023-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,186,186,1.0,2023-08-01T00:00:00+00:00,2023-08-31T20:00:00+00:00,AVAILABLE,1000XECUSDT,4h,2023,2023-06-01 00:00:00+00:00,2023-08-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,23232,23232,1.0,2021-02-01T00:00:00+00:00,2021-11-30T23:45:00+00:00,AVAILABLE,1INCHUSDT,15m,2021,2020-12-25 10:00:00+00:00,2022-03-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,5952,5952,1.0,2022-01-01T00:00:00+00:00,2022-03-31T23:45:00+00:00,AVAILABLE,1INCHUSDT,15m,2022,2020-12-25 10:00:00+00:00,2022-03-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,2976,2976,1.0,2023-08-01T00:00:00+00:00,2023-08-31T23:45:00+00:00,AVAILABLE,1INCHUSDT,15m,2023,2023-06-01 00:00:00+00:00,2023-08-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,5808,5808,1.0,2021-02-01T00:00:00+00:00,2021-11-30T23:00:00+00:00,AVAILABLE,1INCHUSDT,1h,2021,2020-12-25 10:00:00+00:00,2022-03-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,1488,1488,1.0,2022-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,AVAILABLE,1INCHUSDT,1h,2022,2020-12-25 10:00:00+00:00,2022-03-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,744,744,1.0,2023-08-01T00:00:00+00:00,2023-08-31T23:00:00+00:00,AVAILABLE,1INCHUSDT,1h,2023,2023-06-01 00:00:00+00:00,2023-08-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,1452,1452,1.0,2021-02-01T00:00:00+00:00,2021-11-30T20:00:00+00:00,AVAILABLE,1INCHUSDT,4h,2021,2020-12-25 08:00:00+00:00,2022-03-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,372,372,1.0,2022-01-01T00:00:00+00:00,2022-03-31T20:00:00+00:00,AVAILABLE,1INCHUSDT,4h,2022,2020-12-25 08:00:00+00:00,2022-03-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,186,186,1.0,2023-08-01T00:00:00+00:00,2023-08-31T20:00:00+00:00,AVAILABLE,1INCHUSDT,4h,2023,2023-06-01 00:00:00+00:00,2023-08-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2976,2976,1.0,2020-12-01T00:00:00+00:00,2020-12-31T23:45:00+00:00,AVAILABLE,AAVEUSDT,15m,2020,2020-10-16 07:00:00+00:00,2023-02-28 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,32064,32064,1.0,2021-01-01T00:00:00+00:00,2021-11-30T23:45:00+00:00,AVAILABLE,AAVEUSDT,15m,2021,2020-10-16 07:00:00+00:00,2023-02-28 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,35040,35040,1.0,2022-01-01T00:00:00+00:00,2022-12-31T23:45:00+00:00,AVAILABLE,AAVEUSDT,15m,2022,2020-10-16 07:00:00+00:00,2023-02-28 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,11520,11520,1.0,2023-02-01T00:00:00+00:00,2023-11-30T23:45:00+00:00,AVAILABLE,AAVEUSDT,15m,2023,2020-10-16 07:00:00+00:00,2023-02-28 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,744,744,1.0,2020-12-01T00:00:00+00:00,2020-12-31T23:00:00+00:00,AVAILABLE,AAVEUSDT,1h,2020,2020-10-16 07:00:00+00:00,2023-02-28 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,8016,8016,1.0,2021-01-01T00:00:00+00:00,2021-11-30T23:00:00+00:00,AVAILABLE,AAVEUSDT,1h,2021,2020-10-16 07:00:00+00:00,2023-02-28 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,8760,8760,1.0,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,AVAILABLE,AAVEUSDT,1h,2022,2020-10-16 07:00:00+00:00,2023-02-28 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2880,2880,1.0,2023-02-01T00:00:00+00:00,2023-11-30T23:00:00+00:00,AVAILABLE,AAVEUSDT,1h,2023,2020-10-16 07:00:00+00:00,2023-02-28 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,186,186,1.0,2020-12-01T00:00:00+00:00,2020-12-31T20:00:00+00:00,AVAILABLE,AAVEUSDT,4h,2020,2020-10-16 04:00:00+00:00,2023-02-28 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2004,2004,1.0,2021-01-01T00:00:00+00:00,2021-11-30T20:00:00+00:00,AVAILABLE,AAVEUSDT,4h,2021,2020-10-16 04:00:00+00:00,2023-02-28 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2190,2190,1.0,2022-01-01T00:00:00+00:00,2022-12-31T20:00:00+00:00,AVAILABLE,AAVEUSDT,4h,2022,2020-10-16 04:00:00+00:00,2023-02-28 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,720,720,1.0,2023-02-01T00:00:00+00:00,2023-11-30T20:00:00+00:00,AVAILABLE,AAVEUSDT,4h,2023,2020-10-16 04:00:00+00:00,2023-02-28 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2976,2976,1.0,2023-05-01T00:00:00+00:00,2023-05-31T23:45:00+00:00,AVAILABLE,ACHUSDT,15m,2023,2023-03-01 00:00:00+00:00,2023-05-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,744,744,1.0,2023-05-01T00:00:00+00:00,2023-05-31T23:00:00+00:00,AVAILABLE,ACHUSDT,1h,2023,2023-03-01 00:00:00+00:00,2023-05-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,186,186,1.0,2023-05-01T00:00:00+00:00,2023-05-31T20:00:00+00:00,AVAILABLE,ACHUSDT,4h,2023,2023-03-01 00:00:00+00:00,2023-05-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,29376,29376,1.0,2020-03-01T00:00:00+00:00,2020-12-31T23:45:00+00:00,AVAILABLE,ADAUSDT,15m,2020,2020-01-31 08:00:00+00:00,2026-07-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,35040,35040,1.0,2021-01-01T00:00:00+00:00,2021-12-31T23:45:00+00:00,AVAILABLE,ADAUSDT,15m,2021,2020-01-31 08:00:00+00:00,2026-07-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,35040,35040,1.0,2022-01-01T00:00:00+00:00,2022-12-31T23:45:00+00:00,AVAILABLE,ADAUSDT,15m,2022,2020-01-31 08:00:00+00:00,2026-07-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,35040,35040,1.0,2023-01-01T00:00:00+00:00,2023-12-31T23:45:00+00:00,AVAILABLE,ADAUSDT,15m,2023,2020-01-31 08:00:00+00:00,2026-07-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,3840,3840,1.0,2024-01-01T00:00:00+00:00,2024-02-09T23:45:00+00:00,AVAILABLE,ADAUSDT,15m,2024,2020-01-31 08:00:00+00:00,2026-07-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,7344,7344,1.0,2020-03-01T00:00:00+00:00,2020-12-31T23:00:00+00:00,AVAILABLE,ADAUSDT,1h,2020,2020-01-31 08:00:00+00:00,2026-07-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,8760,8760,1.0,2021-01-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,AVAILABLE,ADAUSDT,1h,2021,2020-01-31 08:00:00+00:00,2026-07-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,8760,8760,1.0,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,AVAILABLE,ADAUSDT,1h,2022,2020-01-31 08:00:00+00:00,2026-07-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,8760,8760,1.0,2023-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,AVAILABLE,ADAUSDT,1h,2023,2020-01-31 08:00:00+00:00,2026-07-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,960,960,1.0,2024-01-01T00:00:00+00:00,2024-02-09T23:00:00+00:00,AVAILABLE,ADAUSDT,1h,2024,2020-01-31 08:00:00+00:00,2026-07-31 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,1836,1836,1.0,2020-03-01T00:00:00+00:00,2020-12-31T20:00:00+00:00,AVAILABLE,ADAUSDT,4h,2020,2020-01-31 08:00:00+00:00,2026-07-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2190,2190,1.0,2021-01-01T00:00:00+00:00,2021-12-31T20:00:00+00:00,AVAILABLE,ADAUSDT,4h,2021,2020-01-31 08:00:00+00:00,2026-07-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2190,2190,1.0,2022-01-01T00:00:00+00:00,2022-12-31T20:00:00+00:00,AVAILABLE,ADAUSDT,4h,2022,2020-01-31 08:00:00+00:00,2026-07-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2190,2190,1.0,2023-01-01T00:00:00+00:00,2023-12-31T20:00:00+00:00,AVAILABLE,ADAUSDT,4h,2023,2020-01-31 08:00:00+00:00,2026-07-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,240,240,1.0,2024-01-01T00:00:00+00:00,2024-02-09T20:00:00+00:00,AVAILABLE,ADAUSDT,4h,2024,2020-01-31 08:00:00+00:00,2026-07-31 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,5760,5760,1.0,2023-04-01T00:00:00+00:00,2023-06-30T23:45:00+00:00,AVAILABLE,AGIXUSDT,15m,2023,2023-02-16 14:15:00+00:00,2023-06-30 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,1440,1440,1.0,2023-04-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,AVAILABLE,AGIXUSDT,1h,2023,2023-02-16 14:00:00+00:00,2023-06-30 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,360,360,1.0,2023-04-01T00:00:00+00:00,2023-06-30T20:00:00+00:00,AVAILABLE,AGIXUSDT,4h,2023,2023-02-16 12:00:00+00:00,2023-06-30 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,2880,2880,1.0,2023-11-01T00:00:00+00:00,2023-11-30T23:45:00+00:00,AVAILABLE,AGLDUSDT,15m,2023,2023-09-01 00:00:00+00:00,2023-11-30 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,720,720,1.0,2023-11-01T00:00:00+00:00,2023-11-30T23:00:00+00:00,AVAILABLE,AGLDUSDT,1h,2023,2023-09-01 00:00:00+00:00,2023-11-30 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,180,180,1.0,2023-11-01T00:00:00+00:00,2023-11-30T20:00:00+00:00,AVAILABLE,AGLDUSDT,4h,2023,2023-09-01 00:00:00+00:00,2023-11-30 20:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,14688,14688,1.0,2020-08-01T00:00:00+00:00,2020-12-31T23:45:00+00:00,AVAILABLE,ALGOUSDT,15m,2020,2020-06-16 09:00:00+00:00,2021-04-30 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,20352,20352,1.0,2021-01-01T00:00:00+00:00,2021-12-31T23:45:00+00:00,AVAILABLE,ALGOUSDT,15m,2021,2020-06-16 09:00:00+00:00,2021-04-30 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,26208,26208,1.0,2022-01-01T00:00:00+00:00,2022-12-31T23:45:00+00:00,AVAILABLE,ALGOUSDT,15m,2022,2021-08-01 00:00:00+00:00,2022-06-30 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,2976,2976,1.0,2023-01-01T00:00:00+00:00,2023-01-31T23:45:00+00:00,AVAILABLE,ALGOUSDT,15m,2023,2022-08-01 00:00:00+00:00,2023-01-31 23:45:00+00:00,,
symbol_timeframe_year,derivatives.premium,3672,3672,1.0,2020-08-01T00:00:00+00:00,2020-12-31T23:00:00+00:00,AVAILABLE,ALGOUSDT,1h,2020,2020-06-16 09:00:00+00:00,2021-04-30 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,5088,5088,1.0,2021-01-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,AVAILABLE,ALGOUSDT,1h,2021,2020-06-16 09:00:00+00:00,2021-04-30 23:00:00+00:00,,
symbol_timeframe_year,derivatives.premium,6552,6552,1.0,2022-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,AVAILABLE,ALGOUSDT,1h,2022,2021-08-01 00:00:00+00:00,2022-06-30 23:00:00+00:00,,
