market,symbol,archive_dataset,interval,first_archive_month,last_archive_month,available_month_count,missing_month_count_inside_observed_span,object_count,compressed_bytes_from_s3_listing,first_key,last_key,eligible,instrument_class,exclusion_reason,evidence
spot,BMTFDUSD,klines,15m,2025-03,2025-11,9,0,9,464956,data/spot/monthly/klines/BMTFDUSD/15m/BMTFDUSD-15m-2025-03.zip,data/spot/monthly/klines/BMTFDUSD/15m/BMTFDUSD-15m-2025-11.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BMTTRY,klines,15m,2025-03,2026-07,17,0,17,1710754,data/spot/monthly/klines/BMTTRY/15m/BMTTRY-15m-2025-03.zip,data/spot/monthly/klines/BMTTRY/15m/BMTTRY-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BMTUSDC,klines,15m,2025-03,2026-07,17,0,17,1545179,data/spot/monthly/klines/BMTUSDC/15m/BMTUSDC-15m-2025-03.zip,data/spot/monthly/klines/BMTUSDC/15m/BMTUSDC-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BMTUSDT,klines,15m,2025-03,2026-07,17,0,17,1879955,data/spot/monthly/klines/BMTUSDT/15m/BMTUSDT-15m-2025-03.zip,data/spot/monthly/klines/BMTUSDT/15m/BMTUSDT-15m-2026-07.zip,True,SPOT_ORDINARY_USDT,,USDT quote plus non-leveraged symbol policy
spot,BNBARS,klines,15m,2025-02,2026-04,15,0,15,904840,data/spot/monthly/klines/BNBARS/15m/BNBARS-15m-2025-02.zip,data/spot/monthly/klines/BNBARS/15m/BNBARS-15m-2026-04.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBAUD,klines,15m,2020-08,2023-06,35,0,35,3551980,data/spot/monthly/klines/BNBAUD/15m/BNBAUD-15m-2020-08.zip,data/spot/monthly/klines/BNBAUD/15m/BNBAUD-15m-2023-06.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBBEARBUSD,klines,15m,2020-03,2020-03,1,0,1,77230,data/spot/monthly/klines/BNBBEARBUSD/15m/BNBBEARBUSD-15m-2020-03.zip,data/spot/monthly/klines/BNBBEARBUSD/15m/BNBBEARBUSD-15m-2020-03.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBBEARUSDT,klines,15m,2020-03,2020-03,1,0,1,90701,data/spot/monthly/klines/BNBBEARUSDT/15m/BNBBEARUSDT-15m-2020-03.zip,data/spot/monthly/klines/BNBBEARUSDT/15m/BNBBEARUSDT-15m-2020-03.zip,False,SYNTHETIC_OR_LEVERAGED,LEVERAGED_TOKEN_SUFFIX,symbol naming policy
spot,BNBBIDR,klines,15m,2020-06,2023-09,40,0,40,4541828,data/spot/monthly/klines/BNBBIDR/15m/BNBBIDR-15m-2020-06.zip,data/spot/monthly/klines/BNBBIDR/15m/BNBBIDR-15m-2023-09.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBBKRW,klines,15m,2020-04,2021-01,10,0,10,554502,data/spot/monthly/klines/BNBBKRW/15m/BNBBKRW-15m-2020-04.zip,data/spot/monthly/klines/BNBBKRW/15m/BNBBKRW-15m-2021-01.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBBRL,klines,15m,2020-11,2026-07,69,0,69,7123050,data/spot/monthly/klines/BNBBRL/15m/BNBBRL-15m-2020-11.zip,data/spot/monthly/klines/BNBBRL/15m/BNBBRL-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BNBBTC,klines,15m,2017-07,2026-07,109,0,109,12866824,data/spot/monthly/klines/BNBBTC/15m/BNBBTC-15m-2017-07.zip,data/spot/monthly/klines/BNBBTC/15m/BNBBTC-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
