trial_id,cohort,trades,mean_net_return,sharpe
T0001,top20,400,0.00030894648350629326,1.339411530897794
T0001,top50,927,-0.0009224534515888642,-4.080277316436892
T0001,top100,927,-0.0009224534515888642,-4.080277316436892
T0002,top20,400,0.0015601869753639416,7.349518158818935
T0002,top50,927,-7.837107049177843e-05,-0.36717361493629525
T0002,top100,927,-7.837107049177843e-05,-0.36717361493629525
T0003,top20,400,-0.0006051171774686114,-3.058192638832853
T0003,top50,927,-0.001599951952586151,-7.959961965125248
T0003,top100,927,-0.001599951952586151,-7.959961965125248
T0004,top20,400,0.00030894648350629326,1.339411530897794
T0004,top50,927,-0.0009224534515888642,-4.080277316436892
T0004,top100,927,-0.0009224534515888642,-4.080277316436892
T0005,top20,400,0.0015601869753639416,7.349518158818935
T0005,top50,927,-7.837107049177843e-05,-0.36717361493629525
T0005,top100,927,-7.837107049177843e-05,-0.36717361493629525
T0006,top20,400,-0.0006051171774686114,-3.058192638832853
T0006,top50,927,-0.001599951952586151,-7.959961965125248
T0006,top100,927,-0.001599951952586151,-7.959961965125248
T0007,top20,400,0.0006114473106648117,2.625524800726224
T0007,top50,927,-0.0006918594858594525,-3.08302585260324
T0007,top100,927,-0.0006918594858594525,-3.08302585260324
T0008,top20,368,0.0012087378408385061,5.550057103435593
T0008,top50,855,-0.0005050184995424256,-2.3411844480867274
T0008,top100,855,-0.0005050184995424256,-2.3411844480867274
T0009,top20,382,-0.0005433414759130772,-2.576576301128257
T0009,top50,890,-0.0007076957562845871,-3.336695869484232
T0009,top100,890,-0.0007076957562845871,-3.336695869484232
T0010,top20,353,-0.0005028877305338212,-2.3319415732062967
T0010,top50,819,-0.0007392202243228603,-3.4207849211126184
T0010,top100,819,-0.0007392202243228603,-3.4207849211126184
T0011,top20,312,0.001522831079528167,7.1021180654386935
T0011,top50,726,0.00099703963271832,4.52851950859218
T0011,top100,726,0.00099703963271832,4.52851950859218
T0012,top20,308,0.0017565371606538772,8.070513097545014
T0012,top50,713,0.0016614918681391363,7.441356226311202
T0012,top100,713,0.0016614918681391363,7.441356226311202
T0013,top20,400,-0.00015989605558172542,-0.8161640664886227
T0013,top50,927,-0.0012517507711198605,-6.289997075376787
T0013,top100,927,-0.0012517507711198605,-6.289997075376787
T0014,top20,400,0.0006597181903923171,3.158994910550089
T0014,top50,927,-0.00035549715582629455,-1.7020012520423513
T0014,top100,927,-0.00035549715582629455,-1.7020012520423513
T0015,top20,400,0.0007712919076700783,3.3003719882434797
T0015,top50,927,-0.0005671355063636442,-2.5269138732101273
T0015,top100,927,-0.0005671355063636442,-2.5269138732101273
T0016,top20,361,0.0006401358858052737,3.02849225081509
T0016,top50,844,-0.00018406640364075684,-0.8502917052547148
T0016,top100,844,-0.00018406640364075684,-0.8502917052547148
T0017,top20,258,0.0004109461616130381,1.8685917884755683
T0017,top50,593,-0.000898530680146839,-4.0489197133078
T0017,top100,593,-0.000898530680146839,-4.0489197133078
T0018,top20,149,0.0003868008796462922,1.6656863029733477
T0018,top50,338,-0.000475214890548999,-2.0884499657440294
T0018,top100,338,-0.000475214890548999,-2.0884499657440294
T0019,top20,105,-0.005788812407865516,-21.532411308551367
T0019,top50,214,-0.006823287978404733,-25.252844805040194
T0019,top100,214,-0.006823287978404733,-25.252844805040194
T0020,top20,383,0.0007406484462880299,3.429256878368025
T0020,top50,890,-0.0001384207412993731,-0.6388539900990874
T0020,top100,890,-0.0001384207412993731,-0.6388539900990874
T0021,top20,269,0.0012765325773082493,5.598931468839734
T0021,top50,629,5.935610981594479e-05,0.2528766715029734
T0021,top100,629,5.935610981594479e-05,0.2528766715029734
T0022,top20,342,2.8862261124940985e-05,0.1378483549645959
T0022,top50,805,-0.0002947082390791682,-1.3835673451673816
T0022,top100,805,-0.0002947082390791682,-1.3835673451673816
T0023,top20,400,-0.0005564568549775869,-2.3777206410120137
T0023,top50,927,-0.0016254005908602465,-7.0673105859989
T0023,top100,927,-0.0016254005908602465,-7.0673105859989
T0024,top20,400,-0.0009498631355217588,-4.860836328734101
T0024,top50,927,-0.0019202590624971356,-9.51443154776765
T0024,top100,927,-0.0019202590624971356,-9.51443154776765
T0025,top20,400,-5.633007024159632e-05,-0.28648701899669143
T0025,top50,927,-0.0011728130863450288,-5.883762003992212
T0025,top100,927,-0.0011728130863450288,-5.883762003992212
T0026,top20,341,0.001485170279608448,7.544133170560099
T0026,top50,804,0.000652034736675082,3.2581296796823906
T0026,top100,804,0.000652034736675082,3.2581296796823906
T0027,top20,400,-0.00010448490945304145,-0.5199452905771728
T0027,top50,927,-0.001118301738798618,-5.495271070703613
T0027,top100,927,-0.001118301738798618,-5.495271070703613
T0028,top20,380,0.0007289906118201904,1.7551141511246353
T0028,top50,883,1.930520284074267e-05,0.04684126381340931
T0028,top100,883,1.930520284074267e-05,0.04684126381340931
T0029,top20,380,-0.00015000825979134312,-0.32801164160532503
T0029,top50,883,-0.0008706739407626257,-1.9365754313340549
T0029,top100,883,-0.0008706739407626257,-1.9365754313340549
T0030,top20,380,-0.00015000825979134312,-0.32801164160532503
T0030,top50,883,-0.0008706739407626257,-1.9365754313340549
T0030,top100,883,-0.0008706739407626257,-1.9365754313340549
T0031,top20,380,0.0007289906118201904,1.7551141511246353
T0031,top50,883,1.930520284074267e-05,0.04684126381340931
T0031,top100,883,1.930520284074267e-05,0.04684126381340931
T0032,top20,380,-0.00015000825979134312,-0.32801164160532503
T0032,top50,883,-0.0008706739407626257,-1.9365754313340549
T0032,top100,883,-0.0008706739407626257,-1.9365754313340549
T0033,top20,380,-0.00015000825979134312,-0.32801164160532503
T0033,top50,883,-0.0008706739407626257,-1.9365754313340549
T0033,top100,883,-0.0008706739407626257,-1.9365754313340549
T0034,top20,380,-0.00015000825979134312,-0.32801164160532503
T0034,top50,883,-0.0008706739407626257,-1.9365754313340549
T0034,top100,883,-0.0008706739407626257,-1.9365754313340549
T0035,top20,329,-0.0004954030210509917,-1.2013663341373835
T0035,top50,731,-0.0015843694190185624,-3.914712918448258
T0035,top100,731,-0.0015843694190185624,-3.914712918448258
T0036,top20,351,2.7897246538249987e-05,0.06790413570726678
T0036,top50,816,-0.0003948822879559873,-0.9471837840358368
T0036,top100,816,-0.0003948822879559873,-0.9471837840358368
T0037,top20,256,-0.000434051501801101,-0.963804634438239
T0037,top50,593,0.0002471806104634097,0.5677243792430731
T0037,top100,593,0.0002471806104634097,0.5677243792430731
T0038,top20,187,0.0003738746109234075,0.8255456561855993
T0038,top50,421,-0.0012924781995688024,-2.9351899541894744
T0038,top100,421,-0.0012924781995688024,-2.9351899541894744
T0039,top20,167,-0.0007913855647676084,-1.7739665691634343
T0039,top50,385,-0.0020909011930037137,-4.737150440615444
T0039,top100,385,-0.0020909011930037137,-4.737150440615444
T0040,top20,381,-0.0002938603909712155,-0.7211627369403815
T0040,top50,887,-0.001325286689838313,-3.2715839598830536
T0040,top100,887,-0.001325286689838313,-3.2715839598830536
T0041,top20,381,-0.0009013773052233961,-2.1262645938512144
T0041,top50,892,-0.0013344427659305663,-3.221441758963518
T0041,top100,892,-0.0013344427659305663,-3.221441758963518
T0042,top20,380,-0.00015000825979134312,-0.32801164160532503
T0042,top50,883,-0.0010172193947023186,-2.261118810872533
T0042,top100,883,-0.0010172193947023186,-2.261118810872533
T0043,top20,283,0.001149936648756631,2.5935460109320587
T0043,top50,669,0.0001663240722654881,0.37601381875442436
T0043,top100,669,0.0001663240722654881,0.37601381875442436
T0044,top20,141,0.001445900690730505,3.143491824493387
T0044,top50,312,-0.0008473449015954065,-1.8074891061842513
T0044,top100,312,-0.0008473449015954065,-1.8074891061842513
T0045,top20,67,-0.00029244181782831234,-0.6362582186039374
T0045,top50,132,0.0038346543051334054,7.851843429375811
T0045,top100,132,0.0038346543051334054,7.851843429375811
T0046,top20,36,0.00864851861710101,16.39175754162827
T0046,top50,72,0.0060685888656471275,10.599764943835263
T0046,top100,72,0.0060685888656471275,10.599764943835263
T0047,top20,354,0.0011099331822397019,2.602631419944226
T0047,top50,826,0.0006911692250946839,1.6018384995251183
T0047,top100,826,0.0006911692250946839,1.6018384995251183
T0048,top20,115,0.005339490376114926,11.288923374150704
T0048,top50,256,0.0056430569379313875,11.616804638150041
T0048,top100,256,0.0056430569379313875,11.616804638150041
T0049,top20,229,-4.668732135685315e-05,-0.10164715700033511
T0049,top50,553,-0.001206497623862581,-2.6850634845345778
T0049,top100,553,-0.001206497623862581,-2.6850634845345778
T0050,top20,380,0.0006724032457947284,1.528201378046101
T0050,top50,883,-1.1478511446315926e-05,-0.02632644985958549
T0050,top100,883,-1.1478511446315926e-05,-0.02632644985958549
T0051,top20,380,-0.0010047737669790307,-2.2975894199370925
T0051,top50,883,-0.001194756239723926,-2.7402833801995654
T0051,top100,883,-0.001194756239723926,-2.7402833801995654
T0052,top20,380,-0.00032189125740765106,-0.7872844211727394
T0052,top50,883,-0.0010340036204933567,-2.5580246348739655
T0052,top100,883,-0.0010340036204933567,-2.5580246348739655
T0053,top20,381,-0.000327467636618086,-0.8540873149475715
T0053,top50,892,-0.0011560109352246114,-2.9794944149904654
T0053,top100,892,-0.0011560109352246114,-2.9794944149904654
T0054,top20,340,0.0003448817159989245,0.36602558358885195
T0054,top50,789,-0.000453763259842267,-0.4878214576821462
T0054,top100,789,-0.000453763259842267,-0.4878214576821462
T0055,top20,340,0.0013042239776666377,1.640175058212842
T0055,top50,789,0.0007959892460613544,0.9904670309086514
T0055,top100,789,0.0007959892460613544,0.9904670309086514
T0056,top20,100,0.0018369091873906985,3.2158781947793313
T0056,top50,250,-0.0005541262671580842,-0.8550512609991765
T0056,top100,250,-0.0005541262671580842,-0.8550512609991765
T0057,top20,340,0.0003448817159989245,0.36602558358885195
T0057,top50,789,-0.000453763259842267,-0.4878214576821462
T0057,top100,789,-0.000453763259842267,-0.4878214576821462
T0058,top20,340,0.0013042239776666377,1.640175058212842
T0058,top50,789,0.0007959892460613544,0.9904670309086514
T0058,top100,789,0.0007959892460613544,0.9904670309086514
T0059,top20,100,0.0018369091873906985,3.2158781947793313
T0059,top50,250,-0.0005541262671580842,-0.8550512609991765
T0059,top100,250,-0.0005541262671580842,-0.8550512609991765
T0060,top20,341,-0.001685083484049556,-2.0199695402082267
T0060,top50,798,-0.0018908244036820643,-2.2479661689556383
T0060,top100,798,-0.0018908244036820643,-2.2479661689556383
T0061,top20,261,-0.0010566094737225586,-1.269972065043585
T0061,top50,583,-0.0009558413723434136,-1.1463300717230898
T0061,top100,583,-0.0009558413723434136,-1.1463300717230898
T0062,top20,254,-0.0029739182310473456,-3.466598294637845
T0062,top50,592,-0.002802085515152293,-3.2061236656475063
T0062,top100,592,-0.002802085515152293,-3.2061236656475063
T0063,top20,114,0.0014918321469927416,1.5230092600066512
T0063,top50,248,0.0013992766718090698,1.5091662061633313
T0063,top100,248,0.0013992766718090698,1.5091662061633313
T0064,top20,61,-0.004478729258818848,-3.7876411547239424
T0064,top50,126,-0.0011296171126861496,-1.0666876835238297
T0064,top100,126,-0.0011296171126861496,-1.0666876835238297
T0065,top20,54,-0.0013928085836766527,-1.1538728751496214
T0065,top50,108,0.0002533079655774297,0.23177490379953264
T0065,top100,108,0.0002533079655774297,0.23177490379953264
T0066,top20,340,-0.00037428059891949457,-0.4406186123381208
T0066,top50,789,-0.0011067597935709426,-1.3220509412844144
T0066,top100,789,-0.0011067597935709426,-1.3220509412844144
T0067,top20,340,-9.80574285933168e-05,-0.1159849959762421
T0067,top50,789,-0.0006990629296065806,-0.8494134857666278
T0067,top100,789,-0.0006990629296065806,-0.8494134857666278
T0068,top20,341,-0.001685083484049556,-2.0199695402082267
T0068,top50,798,-0.0018908244036820643,-2.2479661689556383
T0068,top100,798,-0.0018908244036820643,-2.2479661689556383
T0069,top20,169,-0.0013596047898027776,-1.5631522124474828
T0069,top50,382,-0.0030399760160183054,-3.3530527363689546
T0069,top100,382,-0.0030399760160183054,-3.3530527363689546
T0070,top20,51,-0.014088402172489157,-14.737379884987812
T0070,top50,116,-0.007078490774319386,-6.706707016795166
T0070,top100,116,-0.007078490774319386,-6.706707016795166
T0071,top20,22,-0.004520973308174106,-5.031789428119134
T0071,top50,41,0.00939898647417409,8.867334841805818
T0071,top100,41,0.00939898647417409,8.867334841805818
T0072,top20,5,-0.011297205872404325,-17.83481153108302
T0072,top50,12,-0.006559263662314972,-9.011392739677827
T0072,top100,12,-0.006559263662314972,-9.011392739677827
T0073,top20,246,0.0015417308672721563,1.8083556083385859
T0073,top50,571,-2.6315929945410372e-05,-0.030325275631863362
T0073,top100,571,-2.6315929945410372e-05,-0.030325275631863362
T0074,top20,25,0.0007523702751167293,0.8687058155644976
T0074,top50,38,-0.006363711897371887,-7.391107067676026
T0074,top100,38,-0.006363711897371887,-7.391107067676026
T0075,top20,84,-0.006414611069254659,-6.266974179750865
T0075,top50,183,-0.004276971919205776,-4.032100667772123
T0075,top100,183,-0.004276971919205776,-4.032100667772123
T0076,top20,340,-8.132845808931954e-06,-0.009618337425120065
T0076,top50,789,-0.0006853397831461182,-0.8357713810920856
T0076,top100,789,-0.0006853397831461182,-0.8357713810920856
T0077,top20,340,0.0013042239776666377,1.640175058212842
T0077,top50,789,0.0007959892460613544,0.9904670309086514
T0077,top100,789,0.0007959892460613544,0.9904670309086514
T0078,top20,340,-0.0003074836166071294,-0.362256783701207
T0078,top50,789,-0.001126266107308882,-1.3444841611281313
T0078,top100,789,-0.001126266107308882,-1.3444841611281313
T0079,top20,321,0.0012078072812725998,1.383026756733109
T0079,top50,754,0.0004771500257942193,0.5411184399981424
T0079,top100,754,0.0004771500257942193,0.5411184399981424
T0080,top20,340,-0.0010146440605616504,-1.2732209087333124
T0080,top50,789,-0.0015986355514166876,-2.0164709065188045
T0080,top100,789,-0.0015986355514166876,-2.0164709065188045
T0081,top20,387,0.0005218826312223917,2.258972522173773
T0081,top50,938,-8.532408361344956e-05,-0.36854845787261586
T0081,top100,938,-8.532408361344956e-05,-0.36854845787261586
T0082,top20,387,0.0016083119695891946,7.253628995935535
T0082,top50,938,0.0008533962349590809,3.8984130840228652
T0082,top100,938,0.0008533962349590809,3.8984130840228652
T0083,top20,387,-0.00032738192549849784,-1.6530921684149267
T0083,top50,938,-0.0010357708030230765,-5.079458532300424
T0083,top100,938,-0.0010357708030230765,-5.079458532300424
T0084,top20,387,0.0005218826312223917,2.258972522173773
T0084,top50,938,-8.532408361344956e-05,-0.36854845787261586
T0084,top100,938,-8.532408361344956e-05,-0.36854845787261586
T0085,top20,387,0.0016083119695891946,7.253628995935535
T0085,top50,938,0.0008533962349590809,3.8984130840228652
T0085,top100,938,0.0008533962349590809,3.8984130840228652
T0086,top20,387,-0.00032738192549849784,-1.6530921684149267
T0086,top50,938,-0.0010357708030230765,-5.079458532300424
T0086,top100,938,-0.0010357708030230765,-5.079458532300424
