trial_id,year,trades,sharpe
T0001,2024,927,-4.080277316436892
T0002,2024,927,-0.36717361493629525
T0003,2024,927,-7.959961965125248
T0004,2024,927,-4.080277316436892
T0005,2024,927,-0.36717361493629525
T0006,2024,927,-7.959961965125248
T0007,2024,927,-3.08302585260324
T0008,2024,855,-2.3411844480867274
T0009,2024,890,-3.336695869484232
T0010,2024,819,-3.4207849211126184
T0011,2024,726,4.52851950859218
T0012,2024,713,7.441356226311202
T0013,2024,927,-6.289997075376787
T0014,2024,927,-1.7020012520423513
T0015,2024,927,-2.5269138732101273
T0016,2024,844,-0.8502917052547148
T0017,2024,593,-4.0489197133078
T0018,2024,338,-2.0884499657440294
T0019,2024,214,-25.252844805040194
T0020,2024,890,-0.6388539900990874
T0021,2024,629,0.2528766715029734
T0022,2024,805,-1.3835673451673816
T0023,2024,927,-7.0673105859989
T0024,2024,927,-9.51443154776765
T0025,2024,927,-5.883762003992212
T0026,2024,804,3.2581296796823906
T0027,2024,927,-5.495271070703613
T0028,2024,883,0.04684126381340931
T0029,2024,883,-1.9365754313340549
T0030,2024,883,-1.9365754313340549
T0031,2024,883,0.04684126381340931
T0032,2024,883,-1.9365754313340549
T0033,2024,883,-1.9365754313340549
T0034,2024,883,-1.9365754313340549
T0035,2024,731,-3.914712918448258
T0036,2024,816,-0.9471837840358368
T0037,2024,593,0.5677243792430731
T0038,2024,421,-2.9351899541894744
T0039,2024,385,-4.737150440615444
T0040,2024,887,-3.2715839598830536
T0041,2024,892,-3.221441758963518
T0042,2024,883,-2.261118810872533
T0043,2024,669,0.37601381875442436
T0044,2024,312,-1.8074891061842513
T0045,2024,132,7.851843429375811
T0046,2024,72,10.599764943835263
T0047,2024,826,1.6018384995251183
T0048,2024,256,11.616804638150041
T0049,2024,553,-2.6850634845345778
T0050,2024,883,-0.02632644985958549
T0051,2024,883,-2.7402833801995654
T0052,2024,883,-2.5580246348739655
T0053,2024,892,-2.9794944149904654
T0054,2024,789,-0.4878214576821462
T0055,2024,789,0.9904670309086514
T0056,2024,250,-0.8550512609991765
T0057,2024,789,-0.4878214576821462
T0058,2024,789,0.9904670309086514
T0059,2024,250,-0.8550512609991765
T0060,2024,798,-2.2479661689556383
T0061,2024,583,-1.1463300717230898
T0062,2024,592,-3.2061236656475063
T0063,2024,248,1.5091662061633313
T0064,2024,126,-1.0666876835238297
T0065,2024,108,0.23177490379953264
T0066,2024,789,-1.3220509412844144
T0067,2024,789,-0.8494134857666278
T0068,2024,798,-2.2479661689556383
T0069,2024,382,-3.3530527363689546
T0070,2024,116,-6.706707016795166
T0071,2024,41,8.867334841805818
T0072,2024,12,-9.011392739677827
T0073,2024,571,-0.030325275631863362
T0074,2024,38,-7.391107067676026
T0075,2024,183,-4.032100667772123
