market,symbol,first_observed,last_observed,listing_effective_start,delisting_effective_end,row_count,internal_gap_count,coverage_state,source
spot,BTCUSDT,2024-01-01T00:00:00+00:00,2024-01-31T23:45:00+00:00,2024-01-01T00:00:00+00:00,UNKNOWN,2976,0,OBSERVED_ARCHIVE_WINDOW,data.binance.vision
spot,ETHUSDT,2024-01-01T00:00:00+00:00,2024-01-31T23:45:00+00:00,2024-01-01T00:00:00+00:00,UNKNOWN,2976,0,OBSERVED_ARCHIVE_WINDOW,data.binance.vision
um,BTCUSDT,2024-01-01T00:00:00+00:00,2024-01-31T23:45:00+00:00,2024-01-01T00:00:00+00:00,UNKNOWN,2976,0,OBSERVED_ARCHIVE_WINDOW,data.binance.vision
um,ETHUSDT,2024-01-01T00:00:00+00:00,2024-01-31T23:45:00+00:00,2024-01-01T00:00:00+00:00,UNKNOWN,2976,0,OBSERVED_ARCHIVE_WINDOW,data.binance.vision
