trial_id,fold_id,scope,symbols_traded,top_symbol,top_symbol_share_abs
T0010,F07,fold_diagnostic,97,TRXUSDT,0.030092114322461557
T0010,F08,fold_diagnostic,108,LTCUSDT,0.02591181584073102
T0011,F01,fold_diagnostic,69,ZILUSDT,0.05355528404397887
T0011,F02,fold_diagnostic,89,BANDUSDT,0.05282233778646308
T0011,F03,fold_diagnostic,96,DOGEUSDT,0.12679557520570794
T0011,F04,fold_diagnostic,100,GALAUSDT,0.03620567173055622
T0011,F05,fold_diagnostic,91,SLPUSDT,0.029958147043131086
T0011,F06,fold_diagnostic,92,GMTUSDT,0.02971078572893023
T0011,F07,fold_diagnostic,97,DOGEUSDT,0.031405232776536826
T0011,F08,fold_diagnostic,108,TRBUSDT,0.035971477199460186
T0012,F01,fold_diagnostic,69,ZILUSDT,0.08231269079457557
T0012,F02,fold_diagnostic,89,OMGUSDT,0.05548928020388199
T0012,F03,fold_diagnostic,96,DOGEUSDT,0.16375245153908521
T0012,F04,fold_diagnostic,100,LUNAUSDT,0.0612691082903068
T0012,F05,fold_diagnostic,91,SLPUSDT,0.03477422345706993
T0012,F06,fold_diagnostic,92,BTCSTUSDT,0.03638514543237126
T0012,F07,fold_diagnostic,97,FETUSDT,0.03729602134397826
T0012,F08,fold_diagnostic,108,TRBUSDT,0.050777423123686646
T0013,F01,fold_diagnostic,69,ALGOUSDT,0.023401469264146327
T0013,F02,fold_diagnostic,89,XTZUSDT,0.025285259497226858
T0013,F03,fold_diagnostic,96,ONTUSDT,0.025306131522499036
T0013,F04,fold_diagnostic,100,ICPUSDT,0.024218265627983137
T0013,F05,fold_diagnostic,91,ADAUSDT,0.023712440150485768
T0013,F06,fold_diagnostic,92,WAVESUSDT,0.023122210660407802
T0013,F07,fold_diagnostic,97,DOTUSDT,0.023370208049249455
T0013,F08,fold_diagnostic,108,SUIUSDT,0.022036203184446282
T0014,F01,fold_diagnostic,69,ALGOUSDT,0.026369544285702953
T0014,F02,fold_diagnostic,89,XTZUSDT,0.033657662163167026
T0014,F03,fold_diagnostic,96,THETAUSDT,0.03407853312018791
T0014,F04,fold_diagnostic,100,ICPUSDT,0.032066133837356584
T0014,F05,fold_diagnostic,91,ALGOUSDT,0.027325064962191184
T0014,F06,fold_diagnostic,92,WAVESUSDT,0.026751416189922935
T0014,F07,fold_diagnostic,97,DOGEUSDT,0.027920695939325463
T0014,F08,fold_diagnostic,108,APEUSDT,0.025281724883438016
T0015,F01,fold_diagnostic,69,XTZUSDT,0.042262659756301384
T0015,F02,fold_diagnostic,89,SNXUSDT,0.038812062102946285
T0015,F03,fold_diagnostic,96,DOGEUSDT,0.09064929527123826
T0015,F04,fold_diagnostic,100,LUNAUSDT,0.045895830269327295
T0015,F05,fold_diagnostic,91,ALGOUSDT,0.029051143942963303
T0015,F06,fold_diagnostic,92,SOLUSDT,0.029451597419667234
T0015,F07,fold_diagnostic,97,ACHUSDT,0.03553330064551056
T0015,F08,fold_diagnostic,108,TRBUSDT,0.054463353222683385
T0016,F01,fold_diagnostic,69,BANDUSDT,0.044243469552812935
T0016,F02,fold_diagnostic,89,BANDUSDT,0.05840295450872448
T0016,F03,fold_diagnostic,96,DOGEUSDT,0.1197636128258634
T0016,F04,fold_diagnostic,100,SHIBUSDT,0.05683006751240643
T0016,F05,fold_diagnostic,91,ONEUSDT,0.027435602969413272
T0016,F06,fold_diagnostic,92,GALAUSDT,0.03550950398491628
T0016,F07,fold_diagnostic,97,APTUSDT,0.03588177873306847
T0016,F08,fold_diagnostic,108,TRBUSDT,0.04197475461779929
T0017,F01,fold_diagnostic,69,BTTUSDT,0.022524572385397765
T0017,F02,fold_diagnostic,89,XTZUSDT,0.024342301533654152
