trial_id,feature_id,variant,market,timeframe,side,cohort,horizon_bars,status
T0232,volume.vwap_deviation,vwap_dev20_reversal,spot,4h,LONG,top50,6,REGISTERED
T0233,orderflow.taker_ratio,ratio_sign,spot,4h,LONG,top50,3,REGISTERED
T0234,orderflow.taker_ratio,ratio_sign,spot,4h,LONG,top50,6,REGISTERED
T0235,orderflow.cvd,cvd_slope6_sign,spot,4h,LONG,top50,3,REGISTERED
T0236,orderflow.cvd,cvd_slope6_sign,spot,4h,LONG,top50,6,REGISTERED
T0237,context.btc_regime,regime_follow,spot,4h,LONG,top50,3,REGISTERED
T0238,context.btc_regime,regime_follow,spot,4h,LONG,top50,6,REGISTERED
T0239,context.market_breadth,breadth_0.4_0.6,spot,4h,LONG,top50,3,REGISTERED
T0240,context.market_breadth,breadth_0.4_0.6,spot,4h,LONG,top50,6,REGISTERED
T0241,trend.ema_20_50_spread,ema_10_30,um,15m,LONG,top50,4,REGISTERED
T0242,trend.ema_20_50_spread,ema_10_30,um,15m,LONG,top50,16,REGISTERED
T0243,trend.ema_20_50_spread,ema_10_30,um,15m,LONG,top50,48,REGISTERED
T0244,trend.ema_20_50_spread,ema_10_30,um,15m,LONG,top50,96,REGISTERED
T0245,trend.ema_20_50_spread,ema_20_50,um,15m,LONG,top50,4,REGISTERED
T0246,trend.ema_20_50_spread,ema_20_50,um,15m,LONG,top50,16,REGISTERED
T0247,trend.ema_20_50_spread,ema_20_50,um,15m,LONG,top50,48,REGISTERED
T0248,trend.ema_20_50_spread,ema_20_50,um,15m,LONG,top50,96,REGISTERED
T0249,trend.ema_20_50_spread,ema_50_200,um,15m,LONG,top50,4,REGISTERED
T0250,trend.ema_20_50_spread,ema_50_200,um,15m,LONG,top50,16,REGISTERED
T0251,trend.ema_20_50_spread,ema_50_200,um,15m,LONG,top50,48,REGISTERED
T0252,trend.ema_20_50_spread,ema_50_200,um,15m,LONG,top50,96,REGISTERED
T0253,trend.ema_50_200_regime,ema_10_30,um,15m,LONG,top50,4,REGISTERED
T0254,trend.ema_50_200_regime,ema_10_30,um,15m,LONG,top50,16,REGISTERED
T0255,trend.ema_50_200_regime,ema_10_30,um,15m,LONG,top50,48,REGISTERED
