market,symbol,asset_base,classification,evidence,evidence_source,classification_version,primary_crypto_eligible,all_tradable_usdt_diagnostic
um,BTCU,BTCU,UNKNOWN,non-USDT quote,archive symbol spelling,r1.6-taxonomy-v1,False,False
um,BTCUSD1,BTCUSD1,UNKNOWN,non-USDT quote,archive symbol spelling,r1.6-taxonomy-v1,False,False
um,BTCUSDC,BTCUSDC,UNKNOWN,non-USDT quote,archive symbol spelling,r1.6-taxonomy-v1,False,False
um,BTCUSDT,BTC,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,BTCUSDT_210326,BTCUSDT_210326,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_210625,BTCUSDT_210625,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_210924,BTCUSDT_210924,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_211231,BTCUSDT_211231,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_220325,BTCUSDT_220325,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_220624,BTCUSDT_220624,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_220930,BTCUSDT_220930,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_221230,BTCUSDT_221230,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_230331,BTCUSDT_230331,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_230630,BTCUSDT_230630,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_230929,BTCUSDT_230929,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_231229,BTCUSDT_231229,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_240329,BTCUSDT_240329,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_240628,BTCUSDT_240628,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_240927,BTCUSDT_240927,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_241227,BTCUSDT_241227,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_250328,BTCUSDT_250328,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_250627,BTCUSDT_250627,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_250926,BTCUSDT_250926,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_251226,BTCUSDT_251226,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_260327,BTCUSDT_260327,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_260626,BTCUSDT_260626,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_260925,BTCUSDT_260925,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTCUSDT_261225,BTCUSDT_261225,DATED_DELIVERY,dated delivery suffix,archive symbol policy,r1.6-taxonomy-v1,False,True
um,BTRUSDT,BTR,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,BTSUSDT,BTS,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,BTTUSDT,BTT,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,BTWUSDT,BTW,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,BULLAUSDT,BULLA,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,BUSDT,B,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,BXUSDT,BX,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,BZRXUSDT,BZRX,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,BZUSDT,BZ,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,C98USDT,C98,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CAKEUSDT,CAKE,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CAPUSDT,CAP,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CARVUSDT,CARV,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CATIUSDT,CATI,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CATUSDT,CAT,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CBRSUSDT,CBRS,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CCUSDT,CC,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CELOUSDT,CELO,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CELRUSDT,CELR,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CETUSUSDT,CETUS,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CFGUSDT,CFG,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CFXUSDT,CFX,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CGPTUSDT,CGPT,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CHESSUSDT,CHESS,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CHILLGUYUSDT,CHILLGUY,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CHIPUSDT,CHIP,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CHRUSDT,CHR,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CHZUSDT,CHZ,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CIENUSDT,CIEN,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CKBUSDT,CKB,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CLANKERUSDT,CLANKER,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CLOUSDT,CLO,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CLUSDT,CL,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,COAIUSDT,COAI,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,COCOSUSDT,COCOS,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,COHRUSDT,COHR,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,COINUSDT,COIN,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,COLLECTUSDT,COLLECT,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,COMBOUSDT,COMBO,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,COMMONUSDT,COMMON,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,COMPUSDT,COMP,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,COOKIEUSDT,COOKIE,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,COPPERUSDT,COPPER,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,COSTUSDT,COST,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,COSUSDT,COS,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,COTIUSDT,COTI,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,COWUSDT,COW,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CRCLUSDT,CRCL,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CRDOUSDT,CRDO,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CRMUSDT,CRM,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CROSSUSDT,CROSS,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,CRVUSDC,CRVUSDC,UNKNOWN,non-USDT quote,archive symbol spelling,r1.6-taxonomy-v1,False,False
um,CRVUSDT,CRV,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
